namespace,container,pod,cpu,cpu_timestamp,memory,memory_timestamp
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.022008,1711969315883,2.154496e+06,1711969315883
social-network,url-shorten-memcached,url-shorten-memcached-55d47ccc88-7qv4c,0.188657,1711969315891,1.712128e+06,1711969315891
social-network,url-shorten-mongodb,url-shorten-mongodb-5697666656-cj7vm,5.620362,1711969315945,7.450624e+07,1711969315945
social-network,url-shorten-service,url-shorten-service-6d8bbf75f8-dgrh6,0.053865,1711969315944,5.738496e+06,1711969315944
social-network,user-memcached,user-memcached-67b7d46c5b-gsgk4,0.192698,1711969315906,7.000064e+06,1711969315906
social-network,user-mention-service,user-mention-service-764c7d97c5-7rw64,0.031517,1711969316033,2.777088e+06,1711969316033
social-network,user-mongodb,user-mongodb-86bb4559d-nmlch,5.642105,1711969315975,1.60346112e+08,1711969315975
social-network,user-service,user-service-74685b9465-8qlhb,0.05455,1711969315942,6.90176e+06,1711969315942
social-network,user-timeline-mongodb,user-timeline-mongodb-687f6576fb-m94rm,5.679467,1711969315847,7.409664e+07,1711969315847
social-network,user-timeline-redis,user-timeline-redis-6bf758cc4f-5mndw,1.868847,1711969315963,6.311936e+06,1711969315963
social-network,user-timeline-service,user-timeline-service-65d5766796-2wnnp,0.055713,1711969315845,3.330048e+06,1711969315845
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026712,1711969321026,2.39616e+06,1711969321026
kube-system,coredns,coredns-5d78c9869d-lcldh,1.972999,1711969320718,6.2951424e+07,1711969320718
kube-system,etcd,etcd-minikube,19.288658,1711969320901,8.7863296e+07,1711969320901
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.871295,1711969320886,6.316032e+06,1711969320886
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030254,1711969320927,2.822144e+06,1711969320927
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.336793,1711969320567,4.2950656e+07,1711969320567
kube-system,kube-apiserver,kube-apiserver-minikube,41.444498,1711969319634,3.74550528e+08,1711969319634
kube-system,kube-controller-manager,kube-controller-manager-minikube,16.988719,1711969320815,1.3299712e+08,1711969320815
kube-system,kube-proxy,kube-proxy-p8wcq,0.754362,1711969320663,7.0623232e+07,1711969320663
kube-system,kube-scheduler,kube-scheduler-minikube,3.304189,1711969320841,7.022592e+07,1711969320841
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969321504,2.5214976e+07,1711969321504
social-network,media-memcached,media-memcached-7c887f8cc6-l5q56,0.188781,1711969320838,8.024064e+06,1711969320838
social-network,media-mongodb,media-mongodb-cb6857b9f-gwf5w,5.468903,1711969320953,7.1143424e+07,1711969320953
social-network,media-service,media-service-7848df64c4-74h8s,0.024695,1711969320953,2.080768e+06,1711969320953
social-network,nginx-thrift,nginx-thrift-57fdb4c4f9-qn6tv,0.088347,1711969321250,3.3923072e+07,1711969321250
social-network,post-storage-memcached,post-storage-memcached-675b5c57bd-smb49,0.174724,1711969320940,1.712128e+06,1711969320940
social-network,post-storage-mongodb,post-storage-mongodb-5d7bfcd455-t6sdz,5.552532,1711969320950,7.4215424e+07,1711969320950
social-network,post-storage-service,post-storage-service-84b659876c-7tt26,0.051834,1711969321001,2.985984e+06,1711969321001
social-network,social-graph-mongodb,social-graph-mongodb-78b95799d7-856w7,5.743521,1711969320901,8.3116032e+07,1711969320901
social-network,social-graph-redis,social-graph-redis-7d9b494f66-px74j,1.88281,1711969320847,1.7772544e+07,1711969320847
social-network,social-graph-service,social-graph-service-55b7888dc7-b6jzj,0.054217,1711969320944,3.600384e+06,1711969320944
kube-system,storage-provisioner,storage-provisioner,1.600801,1711969320565,1.7272832e+07,1711969320565
social-network,text-service,text-service-76cf6557f7-zxtdn,0.030224,1711969321021,7.51616e+06,1711969321021
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.022021,1711969320964,2.154496e+06,1711969320964
social-network,url-shorten-memcached,url-shorten-memcached-55d47ccc88-7qv4c,0.189343,1711969320847,1.712128e+06,1711969320847
social-network,url-shorten-mongodb,url-shorten-mongodb-5697666656-cj7vm,5.634974,1711969320894,7.450624e+07,1711969320894
social-network,url-shorten-service,url-shorten-service-6d8bbf75f8-dgrh6,0.053959,1711969321021,5.738496e+06,1711969321021
social-network,user-memcached,user-memcached-67b7d46c5b-gsgk4,0.193185,1711969320753,7.000064e+06,1711969320753
social-network,user-mention-service,user-mention-service-764c7d97c5-7rw64,0.03154,1711969320900,2.777088e+06,1711969320900
social-network,user-mongodb,user-mongodb-86bb4559d-nmlch,5.65728,1711969320877,1.60346112e+08,1711969320877
social-network,user-service,user-service-74685b9465-8qlhb,0.054679,1711969320840,6.90176e+06,1711969320840
social-network,user-timeline-mongodb,user-timeline-mongodb-687f6576fb-m94rm,5.694011,1711969320914,7.409664e+07,1711969320914
social-network,user-timeline-redis,user-timeline-redis-6bf758cc4f-5mndw,1.874036,1711969320949,6.311936e+06,1711969320949
social-network,user-timeline-service,user-timeline-service-65d5766796-2wnnp,0.055824,1711969320904,3.330048e+06,1711969320904
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026712,1711969326016,2.39616e+06,1711969326016
kube-system,coredns,coredns-5d78c9869d-lcldh,1.978933,1711969325571,6.2951424e+07,1711969325571
kube-system,etcd,etcd-minikube,19.338767,1711969325672,8.7871488e+07,1711969325672
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.877954,1711969325910,6.316032e+06,1711969325910
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030254,1711969326016,2.822144e+06,1711969326016
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.337502,1711969325575,4.2950656e+07,1711969325575
kube-system,kube-apiserver,kube-apiserver-minikube,41.582609,1711969325814,3.74550528e+08,1711969325814
kube-system,kube-controller-manager,kube-controller-manager-minikube,17.032162,1711969325715,1.3299712e+08,1711969325715
kube-system,kube-proxy,kube-proxy-p8wcq,0.754491,1711969325655,7.0623232e+07,1711969325655
kube-system,kube-scheduler,kube-scheduler-minikube,3.309126,1711969325732,7.022592e+07,1711969325732
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969326540,2.5214976e+07,1711969326540
social-network,media-memcached,media-memcached-7c887f8cc6-l5q56,0.189252,1711969325886,8.024064e+06,1711969325886
social-network,media-mongodb,media-mongodb-cb6857b9f-gwf5w,5.489586,1711969325978,7.1143424e+07,1711969325978
social-network,media-service,media-service-7848df64c4-74h8s,0.024695,1711969326050,2.080768e+06,1711969326050
social-network,nginx-thrift,nginx-thrift-57fdb4c4f9-qn6tv,0.088347,1711969326280,3.3923072e+07,1711969326280
social-network,post-storage-memcached,post-storage-memcached-675b5c57bd-smb49,0.17515,1711969325826,1.712128e+06,1711969325826
social-network,post-storage-mongodb,post-storage-mongodb-5d7bfcd455-t6sdz,5.57215,1711969325927,7.421952e+07,1711969325927
social-network,post-storage-service,post-storage-service-84b659876c-7tt26,0.051834,1711969325990,2.985984e+06,1711969325990
social-network,social-graph-mongodb,social-graph-mongodb-78b95799d7-856w7,5.764608,1711969326036,8.3124224e+07,1711969326036
social-network,social-graph-redis,social-graph-redis-7d9b494f66-px74j,1.88835,1711969325941,1.7772544e+07,1711969325941
social-network,social-graph-service,social-graph-service-55b7888dc7-b6jzj,0.054217,1711969325109,3.600384e+06,1711969325109
kube-system,storage-provisioner,storage-provisioner,1.617089,1711969325657,1.6801792e+07,1711969325657
social-network,text-service,text-service-76cf6557f7-zxtdn,0.030224,1711969325963,7.51616e+06,1711969325963
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.022021,1711969325932,2.154496e+06,1711969325932
social-network,url-shorten-memcached,url-shorten-memcached-55d47ccc88-7qv4c,0.189918,1711969325859,1.712128e+06,1711969325859
social-network,url-shorten-mongodb,url-shorten-mongodb-5697666656-cj7vm,5.654129,1711969325982,7.4510336e+07,1711969325982
social-network,url-shorten-service,url-shorten-service-6d8bbf75f8-dgrh6,0.053959,1711969326031,5.738496e+06,1711969326031
social-network,user-memcached,user-memcached-67b7d46c5b-gsgk4,0.193619,1711969325948,7.000064e+06,1711969325948
social-network,user-mention-service,user-mention-service-764c7d97c5-7rw64,0.03154,1711969325978,2.777088e+06,1711969325978
social-network,user-mongodb,user-mongodb-86bb4559d-nmlch,5.681197,1711969325928,1.60350208e+08,1711969325928
social-network,user-service,user-service-74685b9465-8qlhb,0.054679,1711969325957,6.90176e+06,1711969325957
social-network,user-timeline-mongodb,user-timeline-mongodb-687f6576fb-m94rm,5.714236,1711969325995,7.4100736e+07,1711969325995
social-network,user-timeline-redis,user-timeline-redis-6bf758cc4f-5mndw,1.87929,1711969325884,6.311936e+06,1711969325884
social-network,user-timeline-service,user-timeline-service-65d5766796-2wnnp,0.055824,1711969325975,3.330048e+06,1711969325975
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026738,1711969330859,2.39616e+06,1711969330859
kube-system,coredns,coredns-5d78c9869d-lcldh,1.983923,1711969330407,6.2959616e+07,1711969330407
kube-system,etcd,etcd-minikube,19.388783,1711969330616,8.787968e+07,1711969330616
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.884039,1711969330771,6.316032e+06,1711969330771
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030265,1711969330818,2.822144e+06,1711969330818
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.338004,1711969330471,4.2950656e+07,1711969330471
kube-system,kube-apiserver,kube-apiserver-minikube,41.687001,1711969330825,3.74554624e+08,1711969330825
kube-system,kube-controller-manager,kube-controller-manager-minikube,17.065414,1711969330746,1.3299712e+08,1711969330746
kube-system,kube-proxy,kube-proxy-p8wcq,0.755414,1711969330825,7.0623232e+07,1711969330825
kube-system,kube-scheduler,kube-scheduler-minikube,3.318123,1711969330553,7.0230016e+07,1711969330553
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969331305,2.5214976e+07,1711969331305
social-network,media-memcached,media-memcached-7c887f8cc6-l5q56,0.189609,1711969330741,8.024064e+06,1711969330741
social-network,media-mongodb,media-mongodb-cb6857b9f-gwf5w,5.503163,1711969330780,7.1143424e+07,1711969330780
social-network,media-service,media-service-7848df64c4-74h8s,0.024724,1711969330859,2.080768e+06,1711969330859
social-network,nginx-thrift,nginx-thrift-57fdb4c4f9-qn6tv,0.088599,1711969331280,3.3923072e+07,1711969331280
social-network,post-storage-memcached,post-storage-memcached-675b5c57bd-smb49,0.175546,1711969330817,1.712128e+06,1711969330817
social-network,post-storage-mongodb,post-storage-mongodb-5d7bfcd455-t6sdz,5.584614,1711969330970,7.421952e+07,1711969330970
social-network,post-storage-service,post-storage-service-84b659876c-7tt26,0.051932,1711969330925,2.985984e+06,1711969330925
social-network,social-graph-mongodb,social-graph-mongodb-78b95799d7-856w7,5.779214,1711969330950,8.3124224e+07,1711969330950
social-network,social-graph-redis,social-graph-redis-7d9b494f66-px74j,1.892564,1711969330884,1.7772544e+07,1711969330884
social-network,social-graph-service,social-graph-service-55b7888dc7-b6jzj,0.054358,1711969330800,3.600384e+06,1711969330800
kube-system,storage-provisioner,storage-provisioner,1.62156,1711969330578,1.6924672e+07,1711969330578
social-network,text-service,text-service-76cf6557f7-zxtdn,0.030241,1711969330972,7.51616e+06,1711969330972
social-network,unique-id-service,unique-id-service-6b88dd4658-fzx7l,0.022034,1711969330924,2.154496e+06,1711969330924
social-network,url-shorten-memcached,url-shorten-memcached-55d47ccc88-7qv4c,0.190527,1711969330950,1.712128e+06,1711969330950
social-network,url-shorten-mongodb,url-shorten-mongodb-5697666656-cj7vm,5.66693,1711969330916,7.4510336e+07,1711969330916
social-network,url-shorten-service,url-shorten-service-6d8bbf75f8-dgrh6,0.054075,1711969330877,5.738496e+06,1711969330877
social-network,user-memcached,user-memcached-67b7d46c5b-gsgk4,0.194048,1711969330818,7.000064e+06,1711969330818
social-network,user-mention-service,user-mention-service-764c7d97c5-7rw64,0.031567,1711969330950,2.777088e+06,1711969330950
social-network,user-mongodb,user-mongodb-86bb4559d-nmlch,5.696044,1711969330925,1.60350208e+08,1711969330925
social-network,user-service,user-service-74685b9465-8qlhb,0.054807,1711969330851,6.90176e+06,1711969330851
social-network,user-timeline-mongodb,user-timeline-mongodb-687f6576fb-m94rm,5.726402,1711969331010,7.4100736e+07,1711969331010
social-network,user-timeline-redis,user-timeline-redis-6bf758cc4f-5mndw,1.883745,1711969330780,6.311936e+06,1711969330780
social-network,user-timeline-service,user-timeline-service-65d5766796-2wnnp,0.05596,1711969330859,3.330048e+06,1711969330859
social-network,compose-post-service,compose-post-service-866f6d7b74-hl962,0.026738,1711969335977,2.39616e+06,1711969335977
kube-system,coredns,coredns-5d78c9869d-lcldh,1.98928,1711969335809,6.295552e+07,1711969335809
kube-system,etcd,etcd-minikube,19.444149,1711969335660,8.787968e+07,1711969335660
social-network,home-timeline-redis,home-timeline-redis-7994f7cb85-d89c9,1.891508,1711969336021,6.316032e+06,1711969336021
social-network,home-timeline-service,home-timeline-service-bbc9bdd7b-cndcg,0.030265,1711969335985,2.822144e+06,1711969335985
social-network,jaeger,jaeger-7455bdbc47-jchjt,0.338267,1711969334545,4.2950656e+07,1711969334545
kube-system,kube-apiserver,kube-apiserver-minikube,41.81346,1711969335762,3.74554624e+08,1711969335762
kube-system,kube-controller-manager,kube-controller-manager-minikube,17.110858,1711969335645,1.3299712e+08,1711969335645
kube-system,kube-proxy,kube-proxy-p8wcq,0.755785,1711969335712,7.0623232e+07,1711969335712
kube-system,kube-scheduler,kube-scheduler-minikube,3.323946,1711969335810,7.022592e+07,1711969335810
social-network,media-frontend,media-frontend-7f4999dcd-n64xn,0.036101,1711969336534,2.5214976e+07,1711969336534
social-network,media-memcached,media-memcached-7c887f8cc6-l5q56,0.190114,1711969335762,8.024064e+06,1711969335762
