cpu,cpu_timestamp,memory,memory_timestamp
3008.996261,1711969292555,3.247443968e+09,1711969292555
3043.831022,1711969304541,3.260145664e+09,1711969304541
3078.280397,1711969316471,3.303829504e+09,1711969316471
3078.280397,1711969316471,3.303829504e+09,1711969316471
3131.62658,1711969328186,3.278815232e+09,1711969328186
3131.62658,1711969328186,3.278815232e+09,1711969328186
3131.62658,1711969328186,3.278815232e+09,1711969328186
3199.592357,1711969340866,3.565707264e+09,1711969340866
3199.592357,1711969340866,3.565707264e+09,1711969340866
3257.169957,1711969352761,3.27725056e+09,1711969352761
3257.169957,1711969352761,3.27725056e+09,1711969352761
3257.169957,1711969352761,3.27725056e+09,1711969352761
3319.469745,1711969365352,3.418136576e+09,1711969365352
3319.469745,1711969365352,3.418136576e+09,1711969365352
3379.140062,1711969377500,3.297452032e+09,1711969377500
3379.140062,1711969377500,3.297452032e+09,1711969377500
3379.140062,1711969377500,3.297452032e+09,1711969377500
3433.890732,1711969389564,3.276161024e+09,1711969389564
3433.890732,1711969389564,3.276161024e+09,1711969389564
3500.492795,1711969402038,3.292688384e+09,1711969402038
3500.492795,1711969402038,3.292688384e+09,1711969402038
3552.723211,1711969414068,3.281313792e+09,1711969414068
3552.723211,1711969414068,3.281313792e+09,1711969414068
3552.723211,1711969414068,3.281313792e+09,1711969414068
3620.211235,1711969426747,3.317661696e+09,1711969426747
3620.211235,1711969426747,3.317661696e+09,1711969426747
3675.458199,1711969438716,3.319771136e+09,1711969438716
3675.458199,1711969438716,3.319771136e+09,1711969438716
3675.458199,1711969438716,3.319771136e+09,1711969438716
3743.517976,1711969451235,3.348467712e+09,1711969451235
3743.517976,1711969451235,3.348467712e+09,1711969451235
3795.916838,1711969462912,3.275431936e+09,1711969462912
3795.916838,1711969462912,3.275431936e+09,1711969462912
3795.916838,1711969462912,3.275431936e+09,1711969462912
3857.28682,1711969475542,3.379789824e+09,1711969475542
3857.28682,1711969475542,3.379789824e+09,1711969475542
3917.165544,1711969487681,3.308744704e+09,1711969487681
3917.165544,1711969487681,3.308744704e+09,1711969487681
3917.165544,1711969487681,3.308744704e+09,1711969487681
3977.684675,1711969500018,3.701112832e+09,1711969500018
3977.684675,1711969500018,3.701112832e+09,1711969500018
4040.349591,1711969512334,3.300175872e+09,1711969512334
4040.349591,1711969512334,3.300175872e+09,1711969512334
4088.887442,1711969524177,3.292127232e+09,1711969524177
4088.887442,1711969524177,3.292127232e+09,1711969524177
4088.887442,1711969524177,3.292127232e+09,1711969524177
4153.473682,1711969536858,3.304574976e+09,1711969536858
4153.473682,1711969536858,3.304574976e+09,1711969536858
4202.478008,1711969548755,3.290386432e+09,1711969548755
4202.478008,1711969548755,3.290386432e+09,1711969548755
4202.478008,1711969548755,3.290386432e+09,1711969548755
4263.810504,1711969561017,3.437002752e+09,1711969561017
4263.810504,1711969561017,3.437002752e+09,1711969561017
4313.372789,1711969572639,3.311968256e+09,1711969572639
4313.372789,1711969572639,3.311968256e+09,1711969572639
4313.372789,1711969572639,3.311968256e+09,1711969572639
4364.861348,1711969584665,3.477639168e+09,1711969584665
4364.861348,1711969584665,3.477639168e+09,1711969584665
4424.224241,1711969596782,3.308183552e+09,1711969596782
4424.224241,1711969596782,3.308183552e+09,1711969596782
4472.042977,1711969608659,3.291426816e+09,1711969608659
4472.042977,1711969608659,3.291426816e+09,1711969608659
4472.042977,1711969608659,3.291426816e+09,1711969608659
4533.213969,1711969621274,3.324321792e+09,1711969621274
4533.213969,1711969621274,3.324321792e+09,1711969621274
4580.321025,1711969632810,3.311177728e+09,1711969632810
4580.321025,1711969632810,3.311177728e+09,1711969632810
4580.321025,1711969632810,3.311177728e+09,1711969632810
4633.842928,1711969644965,3.67722496e+09,1711969644965
4633.842928,1711969644965,3.67722496e+09,1711969644965
9877.171121,1711986173557,3.701436416e+09,1711986173557
9877.171121,1711986173557,3.701436416e+09,1711986173557
9928.099308,1711986185562,3.763519488e+09,1711986185562
9928.099308,1711986185562,3.763519488e+09,1711986185562
9928.099308,1711986185562,3.763519488e+09,1711986185562
9992.748223,1711986198021,3.748409344e+09,1711986198021
9992.748223,1711986198021,3.748409344e+09,1711986198021
10042.894274,1711986209768,3.760992256e+09,1711986209768
10042.894274,1711986209768,3.760992256e+09,1711986209768
10042.894274,1711986209768,3.760992256e+09,1711986209768
10103.340449,1711986222544,3.798142976e+09,1711986222544
10103.340449,1711986222544,3.798142976e+09,1711986222544
10153.331146,1711986234037,3.772399616e+09,1711986234037
10221.869102,1711986270355,3.749875712e+09,1711986270355
10241.947015,1711986282390,3.92863744e+09,1711986282390
10241.947015,1711986282390,3.92863744e+09,1711986282390
10299.39418,1711986294552,3.757232128e+09,1711986294552
10299.39418,1711986294552,3.757232128e+09,1711986294552
10347.836686,1711986306690,3.759337472e+09,1711986306690
10347.836686,1711986306690,3.759337472e+09,1711986306690
10347.836686,1711986306690,3.759337472e+09,1711986306690
10409.488145,1711986319110,3.749261312e+09,1711986319110
10409.488145,1711986319110,3.749261312e+09,1711986319110
10457.976333,1711986330687,3.730239488e+09,1711986330687
10457.976333,1711986330687,3.730239488e+09,1711986330687
10457.976333,1711986330687,3.730239488e+09,1711986330687
10519.602613,1711986343337,3.841601536e+09,1711986343337
10519.602613,1711986343337,3.841601536e+09,1711986343337
10570.847192,1711986355324,3.760013312e+09,1711986355324
10570.847192,1711986355324,3.760013312e+09,1711986355324
10617.553024,1711986367020,3.74093824e+09,1711986367020
10617.878409,1711986367223,3.776159744e+09,1711986367223
