namespace,pod,cpu,cpu_timestamp,memory,memory_timestamp
social-network,user-timeline-mongodb-687f6576fb-m94rm,5.70428,1711969316061,7.424e+07,1711969316061
social-network,user-timeline-redis-6bf758cc4f-5mndw,1.885125,1711969310021,6.971392e+06,1711969310021
social-network,user-timeline-service-65d5766796-2wnnp,0.078081,1711969304917,3.72736e+06,1711969304917
kube-system,coredns-5d78c9869d-lcldh,1.986334,1711969313600,6.3348736e+07,1711969313600
kube-system,etcd-minikube,19.22573,1711969313123,8.7363584e+07,1711969313123
kube-system,kube-apiserver-minikube,41.341769,1711969314109,3.75078912e+08,1711969314109
kube-system,kube-controller-manager-minikube,16.990121,1711969318764,1.33287936e+08,1711969318764
kube-system,kube-proxy-p8wcq,0.76343,1711969305973,7.0537216e+07,1711969305973
kube-system,kube-scheduler-minikube,3.306966,1711969312177,7.04512e+07,1711969312177
kube-system,storage-provisioner,1.643198,1711969310521,3.874816e+07,1711969310521
social-network,compose-post-service-866f6d7b74-hl962,0.05118,1711969313978,2.789376e+06,1711969313978
social-network,home-timeline-redis-7994f7cb85-d89c9,1.877597,1711969308911,6.705152e+06,1711969308911
social-network,home-timeline-service-bbc9bdd7b-cndcg,0.053796,1711969306100,3.219456e+06,1711969306100
social-network,jaeger-7455bdbc47-jchjt,0.357867,1711969311525,4.3245568e+07,1711969311525
social-network,media-frontend-7f4999dcd-n64xn,10.584037,1711969312100,4.0767488e+07,1711969312100
social-network,media-memcached-7c887f8cc6-l5q56,0.208916,1711969319872,8.392704e+06,1711969319872
social-network,media-mongodb-cb6857b9f-gwf5w,5.479867,1711969316324,7.1548928e+07,1711969316324
social-network,media-service-7848df64c4-74h8s,0.048711,1711969310671,2.473984e+06,1711969310671
social-network,nginx-thrift-57fdb4c4f9-qn6tv,9.157745,1711969320379,4.9180672e+07,1711969320379
social-network,post-storage-memcached-675b5c57bd-smb49,0.19883,1711969321399,2.105344e+06,1711969321399
social-network,post-storage-mongodb-5d7bfcd455-t6sdz,5.567005,1711969317076,7.4366976e+07,1711969317076
social-network,post-storage-service-84b659876c-7tt26,0.075152,1711969314212,3.342336e+06,1711969314212
social-network,social-graph-mongodb-78b95799d7-856w7,5.755873,1711969316923,8.3259392e+07,1711969316923
social-network,social-graph-redis-7d9b494f66-px74j,1.884115,1711969303875,1.816576e+07,1711969303875
social-network,social-graph-service-55b7888dc7-b6jzj,0.075776,1711969309774,3.9936e+06,1711969309774
social-network,text-service-76cf6557f7-zxtdn,0.05043,1711969316244,7.917568e+06,1711969316244
social-network,unique-id-service-6b88dd4658-fzx7l,0.046909,1711969315546,2.506752e+06,1711969315546
social-network,url-shorten-memcached-55d47ccc88-7qv4c,0.210847,1711969316119,2.10944e+06,1711969316119
social-network,url-shorten-mongodb-5697666656-cj7vm,5.649112,1711969317212,7.4645504e+07,1711969317212
social-network,url-shorten-service-6d8bbf75f8-dgrh6,0.075297,1711969312768,6.135808e+06,1711969312768
social-network,user-memcached-67b7d46c5b-gsgk4,0.213548,1711969310640,6.811648e+06,1711969310640
social-network,user-mention-service-764c7d97c5-7rw64,0.054,1711969306419,3.1744e+06,1711969306419
social-network,user-mongodb-86bb4559d-nmlch,5.640077,1711969307350,1.60468992e+08,1711969307350
social-network,user-service-74685b9465-8qlhb,0.072654,1711969312224,7.380992e+06,1711969312224
social-network,user-timeline-mongodb-687f6576fb-m94rm,5.70428,1711969316061,7.424e+07,1711969316061
social-network,user-timeline-redis-6bf758cc4f-5mndw,1.885125,1711969310021,6.971392e+06,1711969310021
social-network,user-timeline-service-65d5766796-2wnnp,0.07828,1711969316639,3.72736e+06,1711969316639
kube-system,coredns-5d78c9869d-lcldh,1.986334,1711969313600,6.3348736e+07,1711969313600
kube-system,etcd-minikube,19.22573,1711969313123,8.7363584e+07,1711969313123
kube-system,kube-apiserver-minikube,41.341769,1711969314109,3.75078912e+08,1711969314109
kube-system,kube-controller-manager-minikube,16.990121,1711969318764,1.33287936e+08,1711969318764
kube-system,kube-proxy-p8wcq,0.767914,1711969325726,7.0537216e+07,1711969325726
kube-system,kube-scheduler-minikube,3.306966,1711969312177,7.04512e+07,1711969312177
kube-system,storage-provisioner,1.643198,1711969310521,3.874816e+07,1711969310521
social-network,compose-post-service-866f6d7b74-hl962,0.05118,1711969313978,2.789376e+06,1711969313978
social-network,home-timeline-redis-7994f7cb85-d89c9,1.898961,1711969325579,6.705152e+06,1711969325579
social-network,home-timeline-service-bbc9bdd7b-cndcg,0.053826,1711969325140,3.219456e+06,1711969325140
social-network,jaeger-7455bdbc47-jchjt,0.359527,1711969322215,4.3245568e+07,1711969322215
social-network,media-frontend-7f4999dcd-n64xn,10.584037,1711969312100,4.0767488e+07,1711969312100
social-network,media-memcached-7c887f8cc6-l5q56,0.208916,1711969319872,8.392704e+06,1711969319872
social-network,media-mongodb-cb6857b9f-gwf5w,5.479867,1711969316324,7.1548928e+07,1711969316324
social-network,media-service-7848df64c4-74h8s,0.048739,1711969325046,2.473984e+06,1711969325046
social-network,nginx-thrift-57fdb4c4f9-qn6tv,9.157745,1711969320379,4.9180672e+07,1711969320379
social-network,post-storage-memcached-675b5c57bd-smb49,0.19883,1711969321399,2.105344e+06,1711969321399
social-network,post-storage-mongodb-5d7bfcd455-t6sdz,5.567005,1711969317076,7.4366976e+07,1711969317076
social-network,post-storage-service-84b659876c-7tt26,0.075152,1711969314212,3.342336e+06,1711969314212
social-network,social-graph-mongodb-78b95799d7-856w7,5.755873,1711969316923,8.3259392e+07,1711969316923
social-network,social-graph-redis-7d9b494f66-px74j,1.904894,1711969322566,1.816576e+07,1711969322566
social-network,social-graph-service-55b7888dc7-b6jzj,0.07615,1711969324639,3.9936e+06,1711969324639
social-network,text-service-76cf6557f7-zxtdn,0.05043,1711969316244,7.917568e+06,1711969316244
social-network,unique-id-service-6b88dd4658-fzx7l,0.046909,1711969315546,2.506752e+06,1711969315546
social-network,url-shorten-memcached-55d47ccc88-7qv4c,0.210847,1711969316119,2.10944e+06,1711969316119
social-network,url-shorten-mongodb-5697666656-cj7vm,5.649112,1711969317212,7.4645504e+07,1711969317212
social-network,url-shorten-service-6d8bbf75f8-dgrh6,0.075297,1711969312768,6.135808e+06,1711969312768
social-network,user-memcached-67b7d46c5b-gsgk4,0.214963,1711969325459,6.811648e+06,1711969325459
social-network,user-mention-service-764c7d97c5-7rw64,0.05405,1711969326236,3.1744e+06,1711969326236
social-network,user-mongodb-86bb4559d-nmlch,5.691024,1711969322344,1.60468992e+08,1711969322344
social-network,user-service-74685b9465-8qlhb,0.072654,1711969312224,7.380992e+06,1711969312224
social-network,user-timeline-mongodb-687f6576fb-m94rm,5.739194,1711969326146,7.424e+07,1711969326146
social-network,user-timeline-redis-6bf758cc4f-5mndw,1.901004,1711969324091,6.709248e+06,1711969324091
social-network,user-timeline-service-65d5766796-2wnnp,0.07828,1711969316639,3.72736e+06,1711969316639
kube-system,coredns-5d78c9869d-lcldh,1.986334,1711969313600,6.3348736e+07,1711969313600
kube-system,etcd-minikube,19.407177,1711969330634,8.7371776e+07,1711969330634
kube-system,kube-apiserver-minikube,41.660536,1711969329162,3.7533696e+08,1711969329162
kube-system,kube-controller-manager-minikube,16.990121,1711969318764,1.33287936e+08,1711969318764
kube-system,kube-proxy-p8wcq,0.767914,1711969325726,7.0537216e+07,1711969325726
kube-system,kube-scheduler-minikube,3.32863,1711969328847,7.0455296e+07,1711969328847
kube-system,storage-provisioner,1.672723,1711969330211,3.8449152e+07,1711969330211
social-network,compose-post-service-866f6d7b74-hl962,0.05118,1711969313978,2.789376e+06,1711969313978
social-network,home-timeline-redis-7994f7cb85-d89c9,1.898961,1711969325579,6.705152e+06,1711969325579
social-network,home-timeline-service-bbc9bdd7b-cndcg,0.053826,1711969325140,3.219456e+06,1711969325140
social-network,jaeger-7455bdbc47-jchjt,0.359527,1711969322215,4.3245568e+07,1711969322215
social-network,media-frontend-7f4999dcd-n64xn,10.584037,1711969312100,4.0767488e+07,1711969312100
social-network,media-memcached-7c887f8cc6-l5q56,0.208916,1711969319872,8.392704e+06,1711969319872
social-network,media-mongodb-cb6857b9f-gwf5w,5.523243,1711969329053,7.129088e+07,1711969329053
social-network,media-service-7848df64c4-74h8s,0.048739,1711969325046,2.473984e+06,1711969325046
social-network,nginx-thrift-57fdb4c4f9-qn6tv,9.157745,1711969320379,4.9180672e+07,1711969320379
social-network,post-storage-memcached-675b5c57bd-smb49,0.19883,1711969321399,2.105344e+06,1711969321399
social-network,post-storage-mongodb-5d7bfcd455-t6sdz,5.567005,1711969317076,7.4366976e+07,1711969317076
social-network,post-storage-service-84b659876c-7tt26,0.07536,1711969327347,3.342336e+06,1711969327347
social-network,social-graph-mongodb-78b95799d7-856w7,5.807037,1711969331043,8.3267584e+07,1711969331043
social-network,social-graph-redis-7d9b494f66-px74j,1.904894,1711969322566,1.816576e+07,1711969322566
social-network,social-graph-service-55b7888dc7-b6jzj,0.07615,1711969324639,3.9936e+06,1711969324639
social-network,text-service-76cf6557f7-zxtdn,0.05043,1711969316244,7.917568e+06,1711969316244
social-network,unique-id-service-6b88dd4658-fzx7l,0.046935,1711969328555,2.506752e+06,1711969328555
social-network,url-shorten-memcached-55d47ccc88-7qv4c,0.212174,1711969326653,2.10944e+06,1711969326653
